Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
HV217424,03/27/2012 10:58:00 PM,063XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0312,20,01A,1182310,1863074,2012,41.779492501,-87.607173759,"(41.779492501, -87.607173759)"
HV219526,03/29/2012 12:52:00 PM,013XX S KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1011,24,01A,1147933,1893384,2012,41.86339496,-87.732427749,"(41.86339496, -87.732427749)"
HV219857,03/29/2012 04:39:00 PM,000XX E 113TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0531,9,01A,1178450,1829723,2012,41.6880618,-87.622334896,"(41.6880618, -87.622334896)"
HV219987,03/29/2012 06:01:00 PM,014XX W 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,false,false,0612,21,01A,1167873,1852355,2012,41.750400515,-87.660408795,"(41.750400515, -87.660408795)"
HV220222,03/29/2012 11:40:00 PM,063XX S CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0825,15,01A,1160795,1862510,2012,41.778416297,-87.686065944,"(41.778416297, -87.686065944)"
HV220711,03/30/2012 09:14:00 AM,038XX N NORMANDY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,1632,38,01A,1130843,1924606,2012,41.949383354,-87.794444909,"(41.949383354, -87.794444909)"
HV223307,04/01/2012 04:03:00 AM,026XX S TRIPP AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1031,22,01A,1148480,1886125,2012,41.843464822,-87.730606778,"(41.843464822, -87.730606778)"
HV225544,04/02/2012 07:58:00 PM,061XX S WASHTENAW AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0825,15,01A,1159431,1863775,2012,41.7819157,-87.691031837,"(41.7819157, -87.691031837)"
HV229295,04/05/2012 02:05:00 PM,068XX N ASHLAND BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2431,49,01A,1164546,1945414,2012,42.005832909,-87.669964736,"(42.005832909, -87.669964736)"
HV229785,04/05/2012 08:01:00 PM,064XX S FRANCISCO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0823,15,01A,1158151,1861888,2012,41.776763642,-87.695775971,"(41.776763642, -87.695775971)"
HV230510,04/06/2012 01:35:00 PM,008XX E 81ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0631,8,01A,1183175,1851472,2012,41.747635376,-87.604363064,"(41.747635376, -87.604363064)"
HV231394,04/07/2012 12:34:00 AM,040XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0921,14,01A,1156350,1877511,2012,41.819671764,-87.701957751,"(41.819671764, -87.701957751)"
HV232043,04/07/2012 01:35:00 PM,007XX S FRANCISCO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1135,2,01A,1157156,1896427,2012,41.871563129,-87.698488032,"(41.871563129, -87.698488032)"
HV232663,04/07/2012 10:19:00 PM,046XX S SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0821,14,01A,1155159,1873685,2012,41.809196644,-87.706429259,"(41.809196644, -87.706429259)"
HV232759,04/07/2012 11:11:00 PM,003XX W 108TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0513,34,01A,1176058,1833310,2012,41.697958905,-87.630984694,"(41.697958905, -87.630984694)"
HV233969,04/09/2012 12:53:00 AM,049XX W GRACE ST,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,false,false,1634,45,01A,1142678,1924807,2012,41.949722481,-87.750935505,"(41.949722481, -87.750935505)"
HV234922,04/09/2012 04:08:00 PM,036XX W FRANKLIN BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,1122,27,01A,1152194,1903092,2012,41.889951856,-87.716529717,"(41.889951856, -87.716529717)"
HV239435,04/12/2012 07:18:00 PM,006XX W 115TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0524,34,01A,1173909,1828614,2012,41.685120177,-87.638991784,"(41.685120177, -87.638991784)"
HV241179,04/14/2012 01:23:00 AM,064XX S LANGLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0312,20,01A,1182001,1862415,2012,41.777691298,-87.608326947,"(41.777691298, -87.608326947)"
HV241245,04/14/2012 02:45:00 AM,012XX W 69TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,TAXI CAB,false,false,0724,17,01A,1169054,1859022,2012,41.768670211,-87.655888673,"(41.768670211, -87.655888673)"
HV241309,04/14/2012 05:02:00 AM,039XX W 19TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1014,24,01A,1150555,1890348,2012,41.855013048,-87.722881745,"(41.855013048, -87.722881745)"
HV241722,04/14/2012 01:33:00 PM,096XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2223,21,01A,1171019,1840850,2012,41.718761092,-87.649215524,"(41.718761092, -87.649215524)"
HV242015,04/14/2012 04:10:00 PM,055XX S EMERALD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,0711,3,01A,1172247,1868059,2012,41.793399164,-87.643919173,"(41.793399164, -87.643919173)"
HV242539,04/15/2012 02:27:00 AM,013XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1011,24,01A,1150592,1893566,2012,41.863842903,-87.722661927,"(41.863842903, -87.722661927)"
HV242602,04/15/2012 02:46:00 AM,010XX N WALLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,1511,29,01A,1138161,1906459,2012,41.899456567,-87.767984346,"(41.899456567, -87.767984346)"
HV243502,04/15/2012 07:18:00 PM,029XX W ARTHINGTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1135,28,01A,1156929,1895897,2012,41.870113358,-87.699335813,"(41.870113358, -87.699335813)"
HV243931,04/16/2012 04:05:00 AM,045XX W JACKSON BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1131,24,01A,1145870,1898295,2012,41.876910723,-87.739876309,"(41.876910723, -87.739876309)"
HV245176,04/16/2012 08:35:00 PM,006XX E 45TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0221,3,01A,1181279,1875317,2012,41.813112192,-87.610576113,"(41.813112192, -87.610576113)"
HV248011,04/18/2012 07:32:00 PM,012XX N ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1423,26,01A,1159849,1908167,2012,41.903723642,-87.688276949,"(41.903723642, -87.688276949)"
HV248341,04/18/2012 11:12:00 PM,007XX E 87TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0632,6,01A,1182724,1847125,2012,41.7357172,-87.606150247,"(41.7357172, -87.606150247)"
HV233237,04/19/2012 12:01:00 AM,013XX N CLEVELAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1821,27,01A,1172740,1909425,2012,41.906899902,-87.640888264,"(41.906899902, -87.640888264)"
HV248915,04/19/2012 11:40:00 AM,035XX W DOUGLAS BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1021,24,01A,1153133,1893066,2012,41.862420869,-87.713347237,"(41.862420869, -87.713347237)"
HV250915,04/20/2012 05:51:00 PM,014XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,2534,37,01A,1148118,1909357,2012,41.9072231,-87.731337286,"(41.9072231, -87.731337286)"
HV251164,04/20/2012 08:26:00 PM,019XX W 48TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0931,20,01A,1164019,1872840,2012,41.806695917,-87.67395607,"(41.806695917, -87.67395607)"
HV252818,04/22/2012 02:50:00 AM,023XX W GRENSHAW ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1224,25,01A,1160752,1894985,2012,41.867532404,-87.685325655,"(41.867532404, -87.685325655)"
HV253116,04/22/2012 12:25:00 PM,014XX W 72ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0734,17,01A,1167968,1856669,2012,41.762236675,-87.659936931,"(41.762236675, -87.659936931)"
HV253828,04/22/2012 10:00:00 PM,129XX S MANISTEE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0433,10,01A,1196761,1819730,2012,41.660205626,-87.555631154,"(41.660205626, -87.555631154)"
HV256927,04/24/2012 11:35:00 PM,079XX S CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0835,18,01A,1161093,1851842,2012,41.749135591,-87.685268108,"(41.749135591, -87.685268108)"
HV258712,04/26/2012 12:45:00 PM,064XX S GREENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0314,20,01A,1184483,1862583,2012,41.778094523,-87.59922275,"(41.778094523, -87.59922275)"
HV262611,04/28/2012 05:35:00 PM,090XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2221,19,01A,1161953,1844581,2012,41.729192457,-87.682317993,"(41.729192457, -87.682317993)"
HV262694,04/28/2012 08:15:00 PM,063XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0312,20,01A,1181322,1863197,2012,41.779852863,-87.610792057,"(41.779852863, -87.610792057)"
HV262985,04/29/2012 04:51:00 AM,051XX W KINZIE ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1532,28,01A,1142103,1902250,2012,41.887834375,-87.753609675,"(41.887834375, -87.753609675)"
HV251982,04/29/2012 08:12:00 PM,024XX W 34TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0911,12,01A,1160694,1881735,2012,41.831174215,-87.685905313,"(41.831174215, -87.685905313)"
HV264127,04/30/2012 06:19:00 AM,035XX S CALIFORNIA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0911,12,01A,1158282,1880843,2012,41.828776003,-87.694779486,"(41.828776003, -87.694779486)"
HV265306,04/30/2012 06:53:00 PM,004XX N LAWLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1532,28,01A,1142623,1902480,2012,41.888455867,-87.751694316,"(41.888455867, -87.751694316)"
HV268755,05/03/2012 12:01:00 AM,017XX N MONITOR AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2531,29,01A,1137160,1911006,2012,41.911952129,-87.771551691,"(41.911952129, -87.771551691)"
HV268920,05/03/2012 05:13:00 AM,035XX S PARNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0915,11,01A,1173208,1881453,2012,41.830132402,-87.639999033,"(41.830132402, -87.639999033)"
HV269776,05/03/2012 05:05:00 PM,090XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2222,21,01A,1169912,1844812,2012,41.729657469,-87.653155429,"(41.729657469, -87.653155429)"
HV269776,05/03/2012 05:05:00 PM,090XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2222,21,01A,1169912,1844812,2012,41.729657469,-87.653155429,"(41.729657469, -87.653155429)"
HV271805,05/04/2012 09:09:00 PM,121XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,34,01A,1172855,1824295,2012,41.673291386,-87.642976891,"(41.673291386, -87.642976891)"
HV271994,05/04/2012 11:35:00 PM,042XX W CERMAK RD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1013,22,01A,1148149,1889030,2012,41.851442887,-87.731746808,"(41.851442887, -87.731746808)"
HV272275,05/05/2012 07:00:00 AM,056XX N BROADWAY,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2022,48,01A,1167292,1937591,2012,41.984307605,-87.660088247,"(41.984307605, -87.660088247)"
HV273455,05/06/2012 02:30:00 AM,013XX W 13TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1231,2,01A,1167654,1894186,2012,41.865194117,-87.660010385,"(41.865194117, -87.660010385)"
HV275470,05/07/2012 02:30:00 PM,009XX E 104TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,true,0512,9,01A,1184238,1836191,2012,41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
HV277350,05/08/2012 04:45:00 PM,046XX S LAKE PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0222,4,01A,1185932,1874445,2012,41.810610708,-87.593536505,"(41.810610708, -87.593536505)"
HV277521,05/08/2012 10:46:00 PM,040XX W WEST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1114,28,01A,1149212,1900662,2012,41.88334197,-87.727544035,"(41.88334197, -87.727544035)"
HV278636,05/09/2012 01:55:00 PM,000XX W 108TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0513,34,01A,1177867,1833022,2012,41.69712792,-87.624369795,"(41.69712792, -87.624369795)"
HV278034,05/10/2012 12:06:00 AM,036XX N ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,false,false,1922,47,01A,1165009,1924140,2012,41.947446464,-87.668868434,"(41.947446464, -87.668868434)"
HV280450,05/10/2012 05:38:00 PM,053XX S HOYNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0932,16,01A,1163273,1869027,2012,41.796248249,-87.676798979,"(41.796248249, -87.676798979)"
HV280450,05/10/2012 07:45:00 PM,053XX S HOYNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0932,16,01A,1163273,1869027,2012,41.796248249,-87.676798979,"(41.796248249, -87.676798979)"
HV282343,05/11/2012 08:49:00 PM,027XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1032,22,01A,1154143,1885557,2012,41.841795224,-87.709839783,"(41.841795224, -87.709839783)"
HV282459,05/12/2012 01:07:00 AM,016XX W 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0611,21,01A,1166578,1852320,2012,41.750332165,-87.665155275,"(41.750332165, -87.665155275)"
HV282889,05/12/2012 07:29:00 AM,062XX S RHODES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0313,20,01A,1180972,1863815,2012,41.781556777,-87.612056189,"(41.781556777, -87.612056189)"
HV282948,05/12/2012 09:05:00 AM,064XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0312,20,01A,1183000,1862676,2012,41.778384336,-87.604656531,"(41.778384336, -87.604656531)"
HV284017,05/13/2012 12:14:00 AM,016XX N MOZART ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1421,1,01A,1157172,1910809,2012,41.911028328,-87.698038344,"(41.911028328, -87.698038344)"
HV284070,05/13/2012 01:22:00 AM,045XX N MILWAUKEE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1623,45,01A,1140923,1929940,2012,41.963840438,-87.757259911,"(41.963840438, -87.757259911)"
HV282560,05/13/2012 01:30:00 PM,035XX W 83RD PL,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0834,18,01A,1154212,1848989,2012,41.741445935,-87.710558668,"(41.741445935, -87.710558668)"
HV285267,05/14/2012 01:43:00 AM,013XX S THROOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1231,2,01A,1167922,1893741,2012,41.863967228,-87.659039385,"(41.863967228, -87.659039385)"
HV287606,05/15/2012 02:48:00 PM,030XX E 87TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0424,10,01A,1198119,1847874,2012,41.737401728,-87.549724872,"(41.737401728, -87.549724872)"
HV291152,05/17/2012 07:10:00 PM,079XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0612,21,01A,1167716,1852031,2012,41.749514782,-87.660993393,"(41.749514782, -87.660993393)"
HV291701,05/18/2012 10:57:00 AM,078XX S GREENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,0624,8,01A,1184911,1853283,2012,41.75256441,-87.597945193,"(41.75256441, -87.597945193)"
HV292797,05/18/2012 08:58:00 PM,026XX W 37TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0911,12,01A,1159312,1879693,2012,41.825599196,-87.691032008,"(41.825599196, -87.691032008)"
HV293107,05/19/2012 05:06:00 AM,116XX S PEORIA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,34,01A,1172302,1827766,2012,41.682828519,-87.644899406,"(41.682828519, -87.644899406)"
HV294258,05/19/2012 10:15:00 PM,080XX S BRANDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0422,7,01A,1198880,1852276,2012,41.749462087,-87.546789436,"(41.749462087, -87.546789436)"
HV294343,05/20/2012 12:34:00 AM,101XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0511,9,01A,1179051,1837553,2012,41.70953478,-87.619897253,"(41.70953478, -87.619897253)"
HV295504,05/20/2012 08:20:00 PM,079XX S TROY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0835,18,01A,1156758,1851813,2012,41.749144511,-87.701154143,"(41.749144511, -87.701154143)"
HV295764,05/21/2012 12:44:00 AM,022XX S LEAVITT ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1034,25,01A,1162048,1889181,2012,41.851578719,-87.680729788,"(41.851578719, -87.680729788)"
HV295764,05/21/2012 02:00:00 AM,022XX S LEAVITT ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1034,25,01A,1162048,1889181,2012,41.851578719,-87.680729788,"(41.851578719, -87.680729788)"
HV297328,05/22/2012 02:24:00 AM,116XX S HALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2212,19,01A,1164716,1827366,2012,41.681893839,-87.672680179,"(41.681893839, -87.672680179)"
HV298101,05/22/2012 03:50:00 PM,070XX S PERRY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0731,6,01A,1176615,1858322,2012,41.766582569,-87.628194981,"(41.766582569, -87.628194981)"
HV298734,05/22/2012 10:30:00 PM,002XX N LOREL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1523,28,01A,1140665,1901266,2012,41.885160694,-87.758914739,"(41.885160694, -87.758914739)"
HV302309,05/25/2012 04:33:00 AM,006XX E 88TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,6,01A,1182105,1846775,2012,41.73477109,-87.608428808,"(41.73477109, -87.608428808)"
HV303630,05/25/2012 11:50:00 PM,065XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0321,20,01A,1186195,1861860,2012,41.776070273,-87.592969398,"(41.776070273, -87.592969398)"
HV303630,05/25/2012 11:55:00 PM,065XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0321,20,01A,1186195,1861860,2012,41.776070273,-87.592969398,"(41.776070273, -87.592969398)"
HV303885,05/26/2012 02:16:00 AM,015XX S MILLARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1014,24,01A,1152292,1892223,2012,41.860124203,-87.716456693,"(41.860124203, -87.716456693)"
HV305240,05/27/2012 02:11:00 AM,024XX W ROOSEVELT RD,0110,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,false,false,1135,28,01A,1160327,1894643,2012,41.866602715,-87.686895354,"(41.866602715, -87.686895354)"
HV303680,05/27/2012 03:20:00 PM,053XX S JUSTINE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0934,16,01A,1166912,1869286,2012,41.796881935,-87.663447077,"(41.796881935, -87.663447077)"
HV306578,05/28/2012 04:05:00 AM,050XX S ST LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0223,4,01A,1181113,1871560,2012,41.802806505,-87.611300776,"(41.802806505, -87.611300776)"
HV305046,05/28/2012 04:15:00 AM,110XX S NORMAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,false,false,2233,34,01A,1174927,1831718,2012,41.693615452,-87.635173059,"(41.693615452, -87.635173059)"
HV306745,05/28/2012 05:30:00 AM,030XX S KOSTNER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1031,22,01A,1147544,1884038,2012,41.837755788,-87.734095166,"(41.837755788, -87.734095166)"
HV307486,05/28/2012 05:39:00 PM,015XX S SPAULDING AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1022,24,01A,1154613,1892345,2012,41.860412908,-87.707933603,"(41.860412908, -87.707933603)"
HV307529,05/28/2012 06:06:00 PM,015XX S SAWYER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ABANDONED BUILDING,true,false,1022,24,01A,1154945,1892332,2012,41.860370591,-87.706715255,"(41.860370591, -87.706715255)"
HV307808,05/28/2012 10:35:00 PM,017XX E 68TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0332,5,01A,1189089,1860228,2012,41.771523074,-87.582412624,"(41.771523074, -87.582412624)"
HV308059,05/29/2012 02:15:00 AM,051XX N BROADWAY,0110,HOMICIDE,FIRST DEGREE MURDER,LIQUOR STORE,true,false,2033,48,01A,1167380,1934496,2012,41.97581294,-87.659854095,"(41.97581294, -87.659854095)"
HV311867,05/31/2012 10:30:00 AM,113XX S VINCENNES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2212,19,01A,1166543,1829550,2012,41.687848473,-87.665930365,"(41.687848473, -87.665930365)"
HV314638,06/02/2012 01:20:00 AM,013XX W WASHBURNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA PARKING LOT,false,false,1231,2,01A,1167677,1894516,2012,41.86609917,-87.659916448,"(41.86609917, -87.659916448)"
HV315454,06/02/2012 03:43:00 PM,073XX N COLES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0334,7,01A,1194880,1857062,2012,41.762694638,-87.561289359,"(41.762694638, -87.561289359)"
HV315915,06/02/2012 10:26:00 PM,011XX N KEYSTONE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,27,01A,1149178,1907288,2012,41.901525076,-87.727497088,"(41.901525076, -87.727497088)"
HV319005,06/04/2012 10:25:00 PM,071XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0832,18,01A,1161608,1857318,2012,41.764151886,-87.683229302,"(41.764151886, -87.683229302)"
HV320622,06/05/2012 11:31:00 PM,068XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0322,20,01A,1179657,1859803,2012,41.770577612,-87.616999766,"(41.770577612, -87.616999766)"
HV321580,06/06/2012 03:40:00 PM,130XX S DREXEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0533,9,01A,1184283,1818785,2012,41.657912296,-87.60132113,"(41.657912296, -87.60132113)"
HV324883,06/08/2012 04:43:00 PM,051XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0934,16,01A,1169523,1870742,2012,41.800821127,-87.653830052,"(41.800821127, -87.653830052)"
HV324883,06/08/2012 04:43:00 PM,051XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0934,16,01A,1169523,1870742,2012,41.800821127,-87.653830052,"(41.800821127, -87.653830052)"
HV325580,06/09/2012 01:06:00 AM,068XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0322,20,01A,1178772,1859760,2012,41.770479797,-87.620245111,"(41.770479797, -87.620245111)"
HV326080,06/09/2012 10:23:00 AM,001XX W 111TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0513,34,01A,1177195,1831344,2012,41.692538396,-87.626880654,"(41.692538396, -87.626880654)"
HV326811,06/10/2012 01:40:00 AM,061XX S ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0825,15,01A,1160094,1863807,2012,41.781989896,-87.688600214,"(41.781989896, -87.688600214)"
HV327329,06/10/2012 03:30:00 PM,075XX S DREXEL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0624,8,01A,1183537,1855227,2012,41.757931061,-87.602919789,"(41.757931061, -87.602919789)"
HV328499,06/11/2012 12:17:00 AM,007XX W 50TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0935,3,01A,1172276,1871384,2012,41.802522678,-87.643715019,"(41.802522678, -87.643715019)"
HV328499,06/11/2012 12:25:00 AM,007XX W 50TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0935,3,01A,1172276,1871384,2012,41.802522678,-87.643715019,"(41.802522678, -87.643715019)"
HV328645,06/11/2012 02:59:00 AM,093XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0633,9,01A,1183191,1843333,2012,41.725300675,-87.604556978,"(41.725300675, -87.604556978)"
HV329165,06/11/2012 12:07:00 PM,013XX W HASTINGS ST,0110,HOMICIDE,FIRST DEGREE MURDER,CHA APARTMENT,true,true,1231,2,01A,1167684,1893852,2012,41.864276948,-87.659909872,"(41.864276948, -87.659909872)"
HV330170,06/11/2012 10:58:00 PM,063XX S ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0825,15,01A,1160127,1862586,2012,41.778638623,-87.688512796,"(41.778638623, -87.688512796)"
HV330328,06/12/2012 06:40:00 AM,039XX S FEDERAL ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0213,3,01A,1176341,1878750,2012,41.822645182,-87.628585455,"(41.822645182, -87.628585455)"
HV332149,06/13/2012 05:14:00 AM,055XX W HENDERSON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1633,38,01A,1138925,1921726,2012,41.941337063,-87.764806379,"(41.941337063, -87.764806379)"
HV332164,06/13/2012 05:52:00 AM,073XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0733,17,01A,1169924,1856111,2012,41.760663209,-87.652784111,"(41.760663209, -87.652784111)"
HV333573,06/13/2012 10:39:00 PM,089XX S BRANDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0424,10,01A,1198877,1846305,2012,41.7330773,-87.547000358,"(41.7330773, -87.547000358)"
HV333632,06/13/2012 10:55:00 PM,041XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0213,3,01A,1179540,1877709,2012,41.819715992,-87.616881612,"(41.819715992, -87.616881612)"
HV333679,06/13/2012 11:50:00 PM,078XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,true,false,0835,18,01A,1161742,1852503,2012,41.750936036,-87.682871596,"(41.750936036, -87.682871596)"
